apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
com.sega.cityrush,True,United States,dp_clause,False,True,True,False,False
multi.gta.us.war.stickman.rope.heros.pubg,True,United States,dp_clause,False,True,True,True,True
com.kwalee.skiddyio,True,United States,dp_clause,False,False,True,True,False
com.hotheadgames.google.free.bigwinfootball2,True,United States,dp_clause,False,True,True,False,False
com.bwm.idlecleaner,True,United States,dp_clause,False,False,True,True,False
sg.egs.game.bingo,True,United States,dp_clause,True,True,True,False,True
com.sumoing.recolor,True,United States,dp_clause,False,True,True,False,False
com.obreey.reader,True,United States,dp_clause,False,False,True,False,False
com.gun.shoot.zombie.action,True,United States,dp_clause,False,True,True,True,True
com.gun.fun.anti.shoot,True,United States,dp_clause,False,True,True,True,True
com.chain.bikeshill,True,United States,dp_clause,False,True,True,False,False
com.kobobooks.android,True,United States,binding_corporate_rules,False,True,True,False,False
com.kobobooks.android,True,United States,dp_clause,False,True,True,False,False
trivia.world,True,United States,dp_clause,False,False,True,False,False
champions.empire.bubble,True,United States,dp_clause,False,True,True,False,False
com.fingersoft.hillclimb,True,United States,dp_clause,False,True,True,False,False
com.mysterytag.donaldsempire,True,United States,dp_clause,False,True,True,False,False
com.area730.jurassic.survival,True,United States,dp_clause,False,True,True,False,False
org.familysearch.mobile,True,United States,dp_clause,False,True,True,True,True
com.colt,True,United States,dp_clause,False,True,True,False,False
com.home.bible.verse.prayer,True,United States,dp_clause,True,True,True,False,True
com.tabtale.candyblash,True,United States,dp_clause,False,False,True,True,False
com.livesafe.activities,True,United States,dp_clause,False,True,True,True,True
com.pd.thecook,True,United States,dp_clause,False,True,True,False,False
bubbleshooter.orig,True,United States,dp_clause,False,True,True,False,False
com.budgestudios.HelloKittyNailSalon,True,United States,dp_clause,True,True,True,False,True
com.iw.luckyplinko.android,True,United States,dp_clause,False,True,True,False,False
com.RedLineGames.Game49,True,United States,dp_clause,False,True,True,True,True
by.hitbox.magicwoods,True,United States,dp_clause,False,True,True,False,False
com.kwalee.bakeit,True,United States,dp_clause,False,False,True,True,False
com.jhulse.lineup,True,United States,dp_clause,False,False,True,True,False
com.plinko.master.coin,True,United States,dp_clause,False,True,True,False,False
com.vip.luckypusher,True,United States,dp_clause,False,True,True,False,False
com.gamehouse.casino,True,United States,dp_clause,False,True,True,True,True
messenger.sms,True,United States,dp_clause,False,True,True,False,False
com.wildloots.FairyTaleSlots,True,United States,dp_clause,True,True,True,False,True
caller.id.phone.number.block,True,United States,dp_clause,False,True,True,False,False
